Object Number,Is Highlight,Is Public Domain,Object ID,Department,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Metadata Date,Repository
"Sheet: 10 7/16 × 14 1/2 in. (26.5 × 36.8 cm)""","The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1959",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811561,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
59.533.1393,FALSE,FALSE,811563,Drawings and Prints,Print,"Sports of a Country Fair, Part the Third",,,,,,Artist|Publisher,,Thomas Rowlandson|Thomas Tegg,"British, London 1757–1827 London|British, 1776–1846",,"Rowlandson, Thomas|Tegg, Thomas",,1757      |1776      ,1827      |1846      ,"October 5, 1810",1810,1810,Hand-colored etching,Sheet: 9 9/16 × 13 5/8 in. (24.3 × 34.6 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1959",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811563,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
59.533.1297,FALSE,FALSE,811566,Drawings and Prints,Print,Launching a Frigate,,,,,,Publisher|Artist|Artist,After,Thomas Tegg|Richard Newton|Thomas Rowlandson,"British, 1776–1846|British, 1777–1798|British, London 1757–1827 London",,"Tegg, Thomas|Newton, Richard|Rowlandson, Thomas",,1776      |1777      |1757      ,1846      |1798      |1827      ,"February 1, 1809",1809,1809,Hand-colored etching,Sheet: 9 5/8 × 13 11/16 in. (24.5 × 34.8 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1959",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811566,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
59.533.1298,FALSE,FALSE,811567,Drawings and Prints,Print,Launching a Frigate,,,,,,Artist|Publisher|Artist,After,Richard Newton|Thomas Tegg|Thomas Rowlandson,"British, 1777–1798|British, 1776–1846|British, London 1757–1827 London",,"Newton, Richard|Tegg, Thomas|Rowlandson, Thomas",,1777      |1776      |1757      ,1798      |1846      |1827      ,"[February 1, 1809], reprint",1809,1818,Hand-colored etching,Sheet: 9 5/8 × 13 11/16 in. (24.5 × 34.8 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1959",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811567,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
59.533.1243,FALSE,FALSE,811568,Drawings and Prints,Print,Wonders! Wonders!! Wonders!!!,,,,,,Artist|Publisher|Artist,After,George Moutard Woodward|Thomas Tegg|Thomas Rowlandson,"British, ca. 1760–1809 London|British, 1776–1846|British, London 1757–1827 London",,"Woodward, George Moutard|Tegg, Thomas|Rowlandson, Thomas",,1760      |1776      |1757      ,1809      |1846      |1827      ,"[August 1, 1809], reprint",1809,1822,Hand-colored etching,Sheet: 10 in. × 13 3/4 in. (25.4 × 34.9 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1959",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811568,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
59.533.1242,FALSE,FALSE,811569,Drawings and Prints,Print,Wonders! Wonders!! Wonders!!!,,,,,,Publisher|Artist|Artist,After,Thomas Tegg|Thomas Rowlandson|George Moutard Woodward,"British, 1776–1846|British, London 1757–1827 London|British, ca. 1760–1809 London",,"Tegg, Thomas|Rowlandson, Thomas|Woodward, George Moutard",,1776      |1757      |1760      ,1846      |1827      |1809      ,"August 1, 1809",1809,1809,Hand-colored etching,Sheet: 9 7/8 × 13 3/4 in. (25.1 × 34.9 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1959",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811569,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
59.533.1239,FALSE,FALSE,811571,Drawings and Prints,Print,"A Plan for General Reform, Respectfully submitted to the attention of Members of Parliament, During the Summer Reccess",,,,,,Publisher|Artist|Artist,After,Thomas Tegg|George Moutard Woodward|Thomas Rowlandson,"British, 1776–1846|British, ca. 1760–1809 London|British, London 1757–1827 London",,"Tegg, Thomas|Woodward, George Moutard|Rowlandson, Thomas",,1776      |1760      |1757      ,1846      |1809      |1827      ,"August 29, 1809",1809,1809,Hand-colored etching,Sheet: 9 1/2 × 12 11/16 in. (24.2 × 32.3 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1959",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811571,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
59.533.1240,FALSE,FALSE,811574,Drawings and Prints,Print,"A Plan for General Reform, Respectfully submitted to the attention of Members of Parliament, During the Summer Reccess",,,,,,Artist|Artist|Publisher,After,Thomas Rowlandson|George Moutard Woodward|Thomas Tegg,"British, London 1757–1827 London|British, ca. 1760–1809 London|British, 1776–1846",,"Rowlandson, Thomas|Woodward, George Moutard|Tegg, Thomas",,1757      |1760      |1776      ,1827      |1809      |1846      ,"August 29, 1809",1809,1809,Hand-colored etching,Sheet: 9 11/16 × 13 3/8 in. (24.6 × 34 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1959",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811574,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
59.533.1281,FALSE,FALSE,811575,Drawings and Prints,Print,Mrs. Bundle in a Rage or too late for the Stage,,,,,,Publisher|Artist|Artist,After,"Rudolph Ackermann, London|Thomas Rowlandson|George Moutard Woodward","active 1794–1829|British, London 1757–1827 London|British, ca. 1760–1809 London",,"Ackermann, Rudolph|Rowlandson, Thomas|Woodward, George Moutard",,1764      |1757      |1760      ,1834      |1827      |1809      ,"July 1, 1809",1809,1809,Hand-colored etching,Sheet: 8 3/4 × 12 11/16 in. (22.3 × 32.3 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1959",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811575,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
59.533.751,FALSE,FALSE,811577,Drawings and Prints,Print,Mrs. Bundle in a Rage or too late for the Stage,,,,,,Artist|Publisher|Artist,After|After,George Moutard Woodward|William McCleary|Thomas Rowlandson,"British, ca. 1760–1809 London|Irish (active Dublin), 1799–1820|British, London 1757–1827 London",,"Woodward, George Moutard|McCleary, William|Rowlandson, Thomas",,1760      |1799      |1757      ,1809      |1820      |1827      ,"[July 1, 1809], copy after",1809,1809,Hand-colored etching,Sheet: 8 3/8 × 12 1/2 in. (21.2 × 31.8 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1959",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811577,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
59.533.1236,FALSE,FALSE,811578,Drawings and Prints,Print,Awkward Squads Studying the Graces!!,,,,,,Artist|Artist|Publisher,After,George Moutard Woodward|Thomas Rowlandson|Thomas Tegg,"British, ca. 1760–1809 London|British, London 1757–1827 London|British, 1776–1846",,"Woodward, George Moutard|Rowlandson, Thomas|Tegg, Thomas",,1760      |1757      |1776      ,1809      |1827      |1846      ,"August 29, 1809",1809,1809,Hand-colored etching,Sheet: 9 1/4 × 13 1/8 in. (23.5 × 33.4 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1959",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811578,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
59.533.1237,FALSE,FALSE,811579,Drawings and Prints,Print,Awkward Squads Studying the Graces!!,,,,,,Publisher|Artist|Artist,After,Thomas Tegg|Thomas Rowlandson|George Moutard Woodward,"British, 1776–1846|British, London 1757–1827 London|British, ca. 1760–1809 London",,"Tegg, Thomas|Rowlandson, Thomas|Woodward, George Moutard",,1776      |1757      |1760      ,1846      |1827      |1809      ,"August 29, 1809",1809,1809,Hand-colored etching,Sheet: 9 7/16 × 13 11/16 in. (24 × 34.7 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1959",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811579,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
"10.85.7a, b",FALSE,FALSE,811581,European Sculpture and Decorative Arts,Cup and saucer,Cup and saucer (part of a set),"British, Etruria, Staffordshire",,,,,Factory,,Wedgwood and Co.,,,Wedgwood and Co.,,,,late 18th century,1785,1799,Basalt ware,each cup: 2 1/2 × 2 1/2 in. (6.4 × 6.4 cm);,,,,,,,,,,,,,,,,,
"each saucer: 7/8 × 4 1/2 in. (2.2 × 11.4 cm)""","Gift of Ferdinand Hermann, 1910",,,,,,,,,,,,Ceramics-Pottery,,http://www.metmuseum.org/art/collection/search/811581,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
14.102.363,FALSE,TRUE,811582,European Sculpture and Decorative Arts,Vase,Vase (one of a pair),"British, Hanley, Staffordshire",,,,,Maker,,Humphrey Palmer,active 1760–78,,Palmer Humphrey,,1760,1778,late 18th century,1785,1799,Pottery,Height (each): 9 1/2 in. (24.1 cm),"Bequest of Mary Mandeville Johnston, from the collection of Mr. and Mrs. Edward W. S. Johnston, 1914",,,,,,,,,,,,Ceramics-Pottery,,http://www.metmuseum.org/art/collection/search/811582,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
32.100.354,FALSE,TRUE,811583,European Sculpture and Decorative Arts,Ewer,Ewer (one of a pair),"British, Staffordshire",,,,,Factory,Attributed to,Church Works,"Hanley, Staffordshire",,Church Works,,,,possibly 1778–92,1778,1792,Black basalt (stoneware),Height (each): 11 1/8 in. (28.3 cm),"The Friedsam Collection, Bequest of Michael Friedsam, 1931",,,,,,,,,,,,Ceramics-Pottery,,http://www.metmuseum.org/art/collection/search/811583,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
32.127.2,FALSE,TRUE,811584,European Sculpture and Decorative Arts,Urn,Urn (one of a pair),"British, Hanley, Staffordshire",,,,,Maker,,James Neale,,,"Neale, James",,1739,1814,1778–80,1778,1780,Black basalt ware,Height (each): 9 5/8 in. (24.4 cm),"Rogers Fund, 1932",,,,,,,,,,,,Ceramics-Pottery,,http://www.metmuseum.org/art/collection/search/811584,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
1975.508.2,FALSE,TRUE,811585,Drawings and Prints,Print,"The Risen Christ, from Old and New Testaments",,,,,,Artist,,Augustin Hirschvogel,"German, Nuremberg 1503–1553 Vienna",,"Hirschvolgel, Augustin",,1503,1553,1550,1550,1550,Etching,Sheet: 4 5/8 × 6 1/16 in. (11.8 × 15.4 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1953",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811585,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
1975.508.4,FALSE,TRUE,811586,Drawings and Prints,Print,"Pentecost, from Old and New Testaments",,,,,,Artist,,Augustin Hirschvogel,"German, Nuremberg 1503–1553 Vienna",,"Hirschvolgel, Augustin",,1503,1553,1548,1548,1548,Etching,Sheet: 4 5/8 × 5 7/8 in. (11.8 × 14.9 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1953",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811586,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
1975.508.3,FALSE,TRUE,811587,Drawings and Prints,Print,"Risen Christ Appearing to the Disciples, from Old and New Testaments",,,,,,Artist,,Augustin Hirschvogel,"German, Nuremberg 1503–1553 Vienna",,"Hirschvolgel, Augustin",,1503,1553,1547,1547,1547,Etching,Sheet: 4 11/16 in. × 6 in. (11.9 × 15.3 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1953",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811587,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
62.650.214,FALSE,TRUE,811588,Drawings and Prints,Print,"Moses and Zipporah Returning to Egypt, from Old and New Testaments",,,,,,Artist,,Augustin Hirschvogel,"German, Nuremberg 1503–1553 Vienna",,"Hirschvolgel, Augustin",,1503,1553,1549,1549,1549,Etching,Sheet: 4 1/2 × 5 11/16 in. (11.4 × 14.5 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1962",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811588,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
62.656.2,FALSE,TRUE,811589,Drawings and Prints,Print,"Maximilian I, from Herberstain, Rerum Moscoviticarum Commentarii",,,,,,Artist,,Augustin Hirschvogel,"German, Nuremberg 1503–1553 Vienna",,"Hirschvolgel, Augustin",,1503,1553,1546,1546,1546,Etching,Sheet: 6 7/8 × 5 9/16 in. (17.5 × 14.2 cm),"Rogers Fund, 1962",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811589,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
62.602.66,FALSE,TRUE,811590,Drawings and Prints,Print,"Judas Receiving the Wages of His Treason, from Old and New Testaments",,,,,,Artist,,Augustin Hirschvogel,"German, Nuremberg 1503–1553 Vienna",,"Hirschvolgel, Augustin",,1503,1553,1547,1547,1547,Etching,Sheet: 4 11/16 × 5 13/16 in. (11.9 × 14.8 cm),"Rogers Fund, 1962",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811590,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
59.644.77,FALSE,TRUE,811592,Drawings and Prints,Print,"Adam and Eve Eating the Forbidden Fruit, from Old and New Testaments",,,,,,Artist,,Augustin Hirschvogel,"German, Nuremberg 1503–1553 Vienna",,"Hirschvolgel, Augustin",,1503,1553,1548,1548,1548,Etching,Sheet: 4 5/8 × 5 7/8 in. (11.7 × 14.9 cm),"Gift of Harry G. Friedman, 1959",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811592,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
59.644.78,FALSE,TRUE,811593,Drawings and Prints,Print,"Adam and Eve Eating the Forbidden Fruit, from Old and New Testaments",,,,,,Artist,,Augustin Hirschvogel,"German, Nuremberg 1503–1553 Vienna",,"Hirschvolgel, Augustin",,1503,1553,1548,1548,1548,Etching,Sheet: 4 5/8 × 5 7/8 in. (11.7 × 14.9 cm),"Gift of Harry G. Friedman, 1959",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811593,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
59.533.1230,FALSE,FALSE,811594,Drawings and Prints,Print,A Lump of Innocence,,,,,,Artist|Publisher|Artist,After,Thomas Rowlandson|Thomas Tegg|George Moutard Woodward,"British, London 1757–1827 London|British, 1776–1846|British, ca. 1760–1809 London",,"Rowlandson, Thomas|Tegg, Thomas|Woodward, George Moutard",,1757      |1776      |1760      ,1827      |1846      |1809      ,"September 30, 1809",1809,1809,Hand-colored etching,Sheet: 13 1/8 in. × 9 in. (33.3 × 22.9 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1959",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811594,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
59.570.209,FALSE,TRUE,811596,Drawings and Prints,Print,The Massacre of the Innocents,,,,,,Artist,,Augustin Hirschvogel,"German, Nuremberg 1503–1553 Vienna",,"Hirschvolgel, Augustin",,1503,1553,1545,1545,1545,Etching,Sheet: 11 1/8 × 13 5/8 in. (28.2 × 34.6 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1959",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811596,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
49.97.620,FALSE,TRUE,811598,Drawings and Prints,Print,"Basil (Basilius), Grand Duke of Russia",,,,,,Artist,,Augustin Hirschvogel,"German, Nuremberg 1503–1553 Vienna",,"Hirschvolgel, Augustin",,1503,1553,1547,1547,1547,Etching,Sheet: 6 5/16 × 5 1/4 in. (16 × 13.3 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1949",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811598,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
61.544.1,FALSE,TRUE,811600,Drawings and Prints,Print,"Judas Being Paid the 30 Pieces of Silver, from Old and New Testaments",,,,,,Artist,,Augustin Hirschvogel,"German, Nuremberg 1503–1553 Vienna",,"Hirschvolgel, Augustin",,1503,1553,1548,1548,1548,Etching,Sheet: 4 5/8 × 5 11/16 in. (11.7 × 14.5 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1961",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811600,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
59.533.1231,FALSE,FALSE,811601,Drawings and Prints,Print,A Lump of Innocence,,,,,,Publisher|Artist|Artist,After,Thomas Tegg|Thomas Rowlandson|George Moutard Woodward,"British, 1776–1846|British, London 1757–1827 London|British, ca. 1760–1809 London",,"Tegg, Thomas|Rowlandson, Thomas|Woodward, George Moutard",,1776      |1757      |1760      ,1846      |1827      |1809      ,"[September 30, 1809], reprint",1809,1818,Hand-colored etching,Plate: 13 5/8 × 9 5/8 in. (34.6 × 24.5 cm),,,,,,,,,,,,,,,,,
"Sheet: 14 5/16 × 10 3/8 in. (36.4 × 26.3 cm)""","The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1959",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811601,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
61.544.2,FALSE,TRUE,811602,Drawings and Prints,Print,"The Roman Soldiers Falling Before Christ, from Old and New Testaments",,,,,,Artist,,Augustin Hirschvogel,"German, Nuremberg 1503–1553 Vienna",,"Hirschvolgel, Augustin",,1503,1553,1547,1547,1547,Etching,Sheet: 4 5/8 × 5 11/16 in. (11.8 × 14.4 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1961",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811602,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
1970.515.5,FALSE,TRUE,811604,Drawings and Prints,Print,"Charles V (Karl V), Emperor, from Herberstains Rerum Moscoviticarum Commentarii",,,,,,Artist,,Augustin Hirschvogel,"German, Nuremberg 1503–1553 Vienna",,"Hirschvolgel, Augustin",,1503,1553,1546,1546,1546,Etching,Sheet: 7 5/16 × 4 7/8 in. (18.6 × 12.4 cm),"Rogers Fund, 1970",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811604,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
53.600.1497,FALSE,TRUE,811608,Drawings and Prints,Print,Happy Fishing,,,,,,Engraver|Artist,After,Adrian Zingg|Joseph Vernet,"Swiss, St. Gallen 1734–1816 Leipzig|French, Avignon 1714–1789 Paris",,"Zingg, Adrian|Vernet, Joseph",,1734      |1714      ,1816      |1789      ,ca. 1760,1755,1765,Engraving,Sheet (Trimmed): 13 1/4 × 15 5/8 in. (33.6 × 39.7 cm),"Harris Brisbane Dick Fund, 1953",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811608,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
"22.42.2a,b",FALSE,TRUE,811610,Drawings and Prints,Print,Self Portrait of the Artist and Coat of Arms of the Artist,,,,,,Artist,,Augustin Hirschvogel,"German, Nuremberg 1503–1553 Vienna",,"Hirschvolgel, Augustin",,1503,1553,ca. 1523–1553,1518,1528,Etching,Sheet: 12 in. × 16 5/16 in. (30.5 × 41.4 cm),"Rogers Fund, 1922",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811610,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
59.533.1362,FALSE,FALSE,811612,Drawings and Prints,Print,"Libel Hunters on the Lookout, or Daily Examiners of the Liberty Press",,,,,,Publisher|Artist,,Thomas Tegg|Thomas Rowlandson,"British, 1776–1846|British, London 1757–1827 London",,"Tegg, Thomas|Rowlandson, Thomas",,1776      |1757      ,1846      |1827      ,"April 12, 1810",1810,1810,Hand-colored etching,Plate: 9 5/8 × 13 11/16 in. (24.5 × 34.8 cm),,,,,,,,,,,,,,,,,
"Sheet: 10 1/2 × 14 3/8 in. (26.7 × 36.5 cm)""","The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1959",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811612,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
59.533.1363,FALSE,FALSE,811614,Drawings and Prints,Print,"Libel Hunters on the Lookout, or Daily Examiners of the Liberty Press",,,,,,Artist|Publisher,,Thomas Rowlandson|Thomas Tegg,"British, London 1757–1827 London|British, 1776–1846",,"Rowlandson, Thomas|Tegg, Thomas",,1757      |1776      ,1827      |1846      ,"April 12, 1810",1810,1810,Hand-colored etching,Sheet: 9 5/16 × 13 7/16 in. (23.6 × 34.2 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1959",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811614,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
59.533.1339,FALSE,FALSE,811616,Drawings and Prints,Print,A Bait for Kiddies on the North Road. Or That's Your Sort Prime Bang up the Mark,,,,,,Publisher|Artist,,Thomas Tegg|Thomas Rowlandson,"British, 1776–1846|British, London 1757–1827 London",,"Tegg, Thomas|Rowlandson, Thomas",,1776      |1757      ,1846      |1827      ,"[May 5, 1810], reprint",1810,1810,Hand-colored etching,Sheet: 13 9/16 × 9 1/2 in. (34.5 × 24.2 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1959",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811616,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
59.533.1340,FALSE,FALSE,811617,Drawings and Prints,Print,A Bait for Kiddies on the North Road. Or That's Your Sort Prime Bang up the Mark,,,,,,Publisher|Artist,,Thomas Tegg|Thomas Rowlandson,"British, 1776–1846|British, London 1757–1827 London",,"Tegg, Thomas|Rowlandson, Thomas",,1776      |1757      ,1846      |1827      ,"May 5, 1810",1810,1810,Hand-colored etching,Plate: 13 9/16 × 9 5/8 in. (34.5 × 24.5 cm),,,,,,,,,,,,,,,,,
"Sheet: 15 1/4 × 10 3/8 in. (38.8 × 26.3 cm)""","The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1959",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811617,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
53.600.1535,FALSE,TRUE,811618,Drawings and Prints,Print,The Choice of Fish,,,,,,Artist|Engraver,After,Joseph Vernet|Yves Le Gouaz,"French, Avignon 1714–1789 Paris|French, Brest 1742–1816 Paris",,"Vernet, Joseph|Le Gouaz, Yves",,1714      |1742      ,1789      |1816      ,ca. 1770,1765,1775,Engraving; second state of two,Sheet (Trimmed ): 13 9/16 in. × 17 in. (34.5 × 43.2 cm),"Harris Brisbane Dick Fund, 1953",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811618,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
59.533.1566,FALSE,FALSE,811626,Drawings and Prints,Print,Bloody Boney the Carcass Butcher Left of Trade and Retiring to Scarecrow Island,,,,,,Artist|Subject|Publisher|Subject|Subject,,"Thomas Rowlandson|Empress Marie Louise of France|Thomas Tegg|Napoléon II, King of Rome and Duke of Reichstadt|Napoléon Bonaparte","British, London 1757–1827 London|1791–1847|British, 1776–1846|French, Paris 1811–1832 Vienna|French, Ajaccio 1769–1821 St. Helena",,"Rowlandson, Thomas|MARIE LOUISE|Tegg, Thomas|Napoléon II King of Rome and Duke of Reichstadt|Bonaparte, Napoléon",,1757      |1791      |1776      |1811      |1769      ,1827      |1847      |1846      |1832      |1821      ,"April 12, 1814",1814,1814,Hand-colored etching,Sheet: 9 5/8 × 14 3/16 in. (24.4 × 36.1 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1959",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811626,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
53.600.1491,FALSE,TRUE,811629,Drawings and Prints,Print,The Neapolitan Fishermen,,,,,,Engraver|Artist,After,Anne-Philiberte Coulet|Joseph Vernet,"French, active 18th century|French, Avignon 1714–1789 Paris",,"Coulet, A. Ph.|Vernet, Joseph",,1700      |1714      ,1800      |1789      ,ca. 1770,1765,1775,Engraving,Sheet (Trimmed): 18 11/16 × 13 1/16 in. (47.5 × 33.2 cm),"Harris Brisbane Dick Fund, 1953",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811629,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
59.533.1567,FALSE,FALSE,811631,Drawings and Prints,Print,Bloody Boney the Carcass Butcher Left of Trade and Retiring to Scarecrow Island,,,,,,Artist|Publisher|Subject|Subject|Subject,,"Thomas Rowlandson|Thomas Tegg|Napoléon II, King of Rome and Duke of Reichstadt|Empress Marie Louise of France|Napoléon Bonaparte","British, London 1757–1827 London|British, 1776–1846|French, Paris 1811–1832 Vienna|1791–1847|French, Ajaccio 1769–1821 St. Helena",,"Rowlandson, Thomas|Tegg, Thomas|Napoléon II King of Rome and Duke of Reichstadt|MARIE LOUISE|Bonaparte, Napoléon",,1757      |1776      |1811      |1791      |1769      ,1827      |1846      |1832      |1847      |1821      ,"April 12, 1814",1814,1814,Hand-colored etching,Sheet: 9 3/8 × 13 9/16 in. (23.8 × 34.4 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1959",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811631,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
53.600.1613,FALSE,TRUE,811633,Drawings and Prints,Print,Noon,,,,,,Artist|Engraver,After,Joseph Vernet|Jacques Aliamet,"French, Avignon 1714–1789 Paris|French, Abbeville 1726–1788 Paris",,"Vernet, Joseph|Aliamet, Jacques",,1714      |1726      ,1789      |1788      ,ca. 1770,1765,1775,Engraving,Sheet (Trimmed): 13 3/8 × 17 1/16 in. (34 × 43.3 cm),"Harris Brisbane Dick Fund, 1953",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811633,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
